Age_Ind,Death_Count,ExpDth_VBT2015_Cnt,Death_Claim_Amount,ExpDth_VBT2015_Amt,Policies_Exposed,Predicted_Deaths,Actual_to_Predicted,Actual_to_VBT,Predicted_to_VBT,Amount_AE_to_VBT,Actual_Rate_per_1000,Expected_Rate_per_1000,Predicted_Rate_per_1000,Gap_from_1_on_A/P,Flag,Segment_Type,Sex,Insurance_Plan,Insurance_Plan_Group,Face_Amount_Band,Face_Band_Group,Issue_Age_Band,Attained_Age_Band,Duration_Band
,795,629.0824369830785,74247643,63289150.119931795,1024407.0336951311,630.4080860148088,1.2610878851914422,1.2637453428403127,1.0021072739497985,1.1731496292698205,0.7760587089414658,0.6140942186953948,0.6153882834451735,0.2610878851914422,Review,Insurance_Plan,,VL,,,,,,
,863,888.3653980930704,56340078,75188419.12535079,5700757.542064291,693.7508850487353,1.243962376984031,0.9714471115742253,0.78092965635302,0.7493185606957945,0.15138338959904277,0.15583286809482272,0.12169450812979539,0.2439623769840309,Review,Duration_Band,,,,,,,,2-5
,204,185.47056892363995,31673636,29854474.392943427,525029.23149805,164.11183384261696,1.2430547829697385,1.0999049670462206,0.8848402999733258,1.0609343036193783,0.3885497944903619,0.3532576050945628,0.3125765652597316,0.24305478296973848,Review,Insurance_Plan,,VLSG,,,,,,
,4391,6875.933698864605,41445363,39186870.03165873,2659089.3174880804,3551.1616662677866,1.2364967896870969,0.6386041797821681,0.5164624648510173,1.0576339209157724,1.6513172277146284,2.585822767833908,1.33548040034338,0.23649678968709686,Review,Insurance_Plan,,Term,,,,,,
,4391,6875.933698864605,41445363,39186870.03165873,2659089.3174880804,3551.1616662677866,1.2364967896870969,0.6386041797821681,0.5164624648510173,1.0576339209157724,1.6513172277146284,2.585822767833908,1.33548040034338,0.23649678968709686,Review,Insurance_Plan_Group,,,Term,,,,,
,321,325.52307916823406,20093055,26012244.545071583,4261594.992814898,260.3230848113377,1.2330831137493483,0.9861051966582791,0.79970699919805,0.7724460288378665,0.07532391054082099,0.07638526882941013,0.061085834118503914,0.23308311374934831,Review,Attained_Age_Band,,,,,,,"[5, 10)",
,4131,3260.3955966121716,206014968,182047347.0180161,5431726.311490344,3386.357702069838,1.2198947552040988,1.2670241624336815,1.0386339944724965,1.131655975077802,0.7605316916025812,0.6002503457722251,0.6234404143129033,0.21989475520409885,Review,Attained_Age_Band,,,,,,,"[20, 25)",
,2428,2453.737307336484,116954159,152211399.60327867,5808694.216221671,1994.0889849768653,1.2175986218730197,0.9895109768843098,0.8126741925530064,0.7683666223740628,0.41799411530726427,0.42242494027040456,0.34329384724850304,0.2175986218730197,Review,Attained_Age_Band,,,,,,,"[15, 20)",
,168,187.9491620873437,12255658,16617128.730797054,1435833.8920840363,138.98876071425923,1.208730829289022,0.8938587335756627,0.7395018906743963,0.7375316276683949,0.11700517791522316,0.13089895922051645,0.09680002783088262,0.20873082928902198,Review,Duration_Band,,,,,,,,0-1
,4855,3169.4001809242113,217760227,159782361.14406958,5152963.101377014,4094.0935928415297,1.1858546684152276,1.5318355912329948,1.2917565971892113,1.3628552328354568,0.9421763564933368,0.6150636281632329,0.7945124993709881,0.18585466841522758,Review,Attained_Age_Band,,,,,,,"[25, 30)",
